"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","9900","9900","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","0","0","0","0","0","NA","NA","0","0","0","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_aisha.png","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","15962.0","NA","26948","5656","2809","NA","NA","15962","3839","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","748734","607088","752898","NA","755449","NA","NA","714378","741334","711565","NA","NA","772599","607131","752575","747053","NA","NA","755452","771415","755398","748736","746991","747053","NA","NA","RESUME ","1","19801.0","2","1920"
"100","100","6768","6768","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","1","0","1","0","1","NA","NA","0","0","0","NA","NA","1","0","1","1","1","NA","1","1","1","1","0","1","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_goodSort_emilia.png","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","5224.0","NA","26948","5656","2809","NA","NA","5224","2047","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","772888","607088","774960","NA","782919","NA","NA","714378","741334","711565","NA","NA","788725","607131","774936","772878","772608","NA","783032","788256","777460","772888","746991","772877","NA","NA","RESUME ","2","27072.0","4","1920"
"100","100","7657","7657","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","2","0","2","0","2","NA","NA","0","0","0","NA","NA","2","0","2","2","2","NA","2","2","2","2","0","2","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_rahul.png","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","14122.0","NA","26948","5656","2809","NA","NA","14122","4753","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","788813","607088","793593","NA","796147","NA","NA","714378","741334","711565","NA","NA","811384","607131","793567","788799","788727","NA","796148","810271","796093","788813","746991","788799","NA","NA","RESUME ","3","45947.0","6","1920"
"100","100","8106","8106","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","3","0","3","0","3","NA","NA","0","0","0","NA","NA","3","0","3","3","3","NA","3","3","3","3","0","3","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_viktor.png","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","15944.0","NA","26948","5656","2809","NA","NA","15944","2961","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","811484","607088","814472","NA","817020","NA","NA","714378","741334","711565","NA","NA","834243","607131","814447","811472","811387","NA","817022","832967","816972","811485","746991","811472","NA","NA","RESUME ","4","64852.0","8","1920"
"80","80","7677","7677","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","undefined","y","NA","4","0","4","0","4","NA","NA","0","0","0","NA","NA","4","0","4","4","4","NA","4","4","4","4","0","4","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_ goodSort_hannah.png","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","8154.0","NA","26948","5656","2809","NA","NA","8154","3768","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","834332","607088","838129","NA","840683","NA","NA","714378","741334","711565","NA","NA","849442","607131","838103","834323","834245","NA","840684","848839","840629","834334","746991","834323","NA","NA","RESUME ","4","76774.0","10","1920"
"83","83","8354","8354","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","5","0","5","0","5","NA","NA","0","0","0","NA","NA","5","0","5","5","5","NA","5","5","5","5","0","5","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","21667.0","NA","26948","5656","2809","NA","NA","21667","1812","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","849529","607088","851370","NA","853923","NA","NA","714378","741334","711565","NA","NA","877227","607131","851342","849518","849445","NA","853923","875591","853870","849530","746991","849518","NA","NA","RESUME ","5","100253.0","12","1920"
"85","85","7797","7797","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","6","0","6","0","6","NA","NA","0","0","0","NA","NA","6","0","6","6","6","NA","6","6","6","6","0","6","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_maria.png","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","7117.0","NA","26948","5656","2809","NA","NA","7117","1791","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","877332","607088","879153","NA","881719","NA","NA","714378","741334","711565","NA","NA","889375","607131","879127","877319","877231","NA","881721","888839","881653","877335","746991","877319","NA","NA","RESUME ","6","109161.0","14","1920"
"87","87","7316","7316","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","7","0","7","0","7","NA","NA","0","0","0","NA","NA","7","0","7","7","7","NA","7","7","7","7","0","7","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_hans.png","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","3962.0","NA","26948","5656","2809","NA","NA","3962","3943","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","889462","607088","893434","NA","895980","NA","NA","714378","741334","711565","NA","NA","900305","607131","893408","889452","889378","NA","895980","899943","895934","889463","746991","889452","NA","NA","RESUME ","7","117066.0","16","1920"
"88","88","6855","6855","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","8","0","8","0","8","NA","NA","0","0","0","NA","NA","8","0","8","8","8","NA","8","8","8","8","0","8","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_kare.png","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","5527.0","NA","26948","5656","2809","NA","NA","5527","805","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","900382","607088","901218","NA","903773","NA","NA","714378","741334","711565","NA","NA","909786","607131","901191","900374","900307","NA","903775","909303","903718","900385","746991","900374","NA","NA","RESUME ","8","123398.0","18","1920"
"90","90","6447","6447","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","9","0","9","0","9","NA","NA","0","0","0","NA","NA","9","0","9","9","9","NA","9","9","9","9","0","9","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_badSort_tian.png","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","4644.0","NA","26948","5656","2809","NA","NA","4644","910","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","909911","607088","910849","NA","913408","NA","NA","714378","741334","711565","NA","NA","918419","607131","910823","909899","909788","NA","913410","918054","913349","909912","746991","909899","NA","NA","RESUME ","9","128952.0","20","1920"
"90","90","6018","6018","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","10","0","10","0","10","NA","NA","0","0","0","NA","NA","10","0","10","10","10","NA","10","10","10","10","0","10","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_ badSort_leila.png","legacy","10","10","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","2814.0","NA","26948","5656","2809","NA","NA","2814","634","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","918499","607088","919163","NA","921718","NA","NA","714378","741334","711565","NA","NA","924775","607131","919134","918489","918421","NA","921720","924534","921663","918500","746991","918489","NA","NA","RESUME ","10","132400.0","22","1920"
"83","83","5607","5607","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","undefined","n","NA","11","0","11","0","11","NA","NA","0","0","0","NA","NA","11","0","11","11","11","NA","11","11","11","11","0","11","NA","NA","Wed Aug 14 13:22:38 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_lea.png","legacy","11","11","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-1.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","1698.0","NA","26948","5656","2809","NA","NA","1698","491","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","924849","607088","925371","NA","933915","NA","NA","714378","741334","711565","NA","NA","935801","607131","925343","924841","924777","NA","933956","935655","927871","924851","746991","924841","NA","NA","RESUME ","10","134589.0","24","1920"
