"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","13202","13202","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","0","0","0","0","0","NA","NA","0","0","0","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_david.png","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","23199.0","NA","3763","4748","3306","NA","NA","23199","3206","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","2843830","2771584","2847366","NA","2849917","NA","NA","2833898","2837665","2830587","NA","NA","2875083","2771586","2847038","2842472","NA","NA","2849918","2873118","2849866","2843831","2842414","2842472","NA","NA","RESUME ","1","26405.0","2","1920"
"100","100","13448","13448","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","1","0","1","0","1","NA","NA","0","0","0","NA","NA","1","0","1","1","1","NA","1","1","1","1","0","1","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_rahul.png","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","24606.0","NA","3763","4748","3306","NA","NA","24606","2784","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","2875510","2771584","2878319","NA","2888541","NA","NA","2833898","2837665","2830587","NA","NA","2915220","2771586","2878295","2875502","2875094","NA","2888543","2913150","2880819","2875510","2842414","2875502","NA","NA","RESUME ","2","53795.0","4","1920"
"100","100","13611","13611","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","2","0","2","0","2","NA","NA","0","0","0","NA","NA","2","0","2","2","2","NA","2","2","2","2","0","2","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","24751.0","NA","3763","4748","3306","NA","NA","24751","3124","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","2915304","2771584","2918457","NA","2921004","NA","NA","2833898","2837665","2830587","NA","NA","2947880","2771586","2918430","2915295","2915223","NA","2921006","2945758","2920957","2915306","2842414","2915295","NA","NA","RESUME ","3","81670.0","6","1920"
"100","100","13402","13402","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","3","0","3","0","3","NA","NA","0","0","0","NA","NA","3","0","3","3","3","NA","3","3","3","3","0","3","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_viktor.png","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","22440.0","NA","3763","4748","3306","NA","NA","22440","3111","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","2947964","2771584","2951104","NA","2953660","NA","NA","2833898","2837665","2830587","NA","NA","2977935","2771586","2951078","2947955","2947881","NA","2953661","2976102","2953604","2947966","2842414","2947955","NA","NA","RESUME ","4","107221.0","8","1920"
"100","100","12914","12914","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","4","0","4","0","4","NA","NA","0","0","0","NA","NA","4","0","4","4","4","NA","4","4","4","4","0","4","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_goodSort_emilia.png","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","19102.0","NA","3763","4748","3306","NA","NA","19102","2822","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","2978022","2771584","2980872","NA","2983431","NA","NA","2833898","2837665","2830587","NA","NA","3004223","2771586","2980846","2978012","2977937","NA","2983431","3002533","2983372","2978023","2842414","2978012","NA","NA","RESUME ","5","129145.0","10","1920"
"100","100","12593","12593","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","5","0","5","0","5","NA","NA","0","0","0","NA","NA","5","0","5","5","5","NA","5","5","5","5","0","5","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_ goodSort_aisha.png","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","20765.0","NA","3763","4748","3306","NA","NA","20765","1214","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","3004304","2771584","3005559","NA","3008120","NA","NA","2833898","2837665","2830587","NA","NA","3030614","2771586","3005534","3004295","3004226","NA","3008120","3028885","3008059","3004319","2842414","3004295","NA","NA","RESUME ","6","151124.0","12","1920"
"100","100","11981","11981","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","6","0","6","0","6","NA","NA","0","0","0","NA","NA","6","0","6","6","6","NA","6","6","6","6","0","6","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_hans.png","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","15360.0","NA","3763","4748","3306","NA","NA","15360","1250","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","3030699","2771584","3031993","NA","3034556","NA","NA","2833898","2837665","2830587","NA","NA","3051239","2771586","3031966","3030690","3030617","NA","3034557","3049917","3034493","3030715","2842414","3030690","NA","NA","RESUME ","7","167734.0","14","1920"
"100","100","11687","11687","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","7","0","7","0","7","NA","NA","0","0","0","NA","NA","7","0","7","7","7","NA","7","7","7","7","0","7","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_lea.png","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","17190.0","NA","3763","4748","3306","NA","NA","17190","2080","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","3051527","2771584","3053651","NA","3056214","NA","NA","2833898","2837665","2830587","NA","NA","3074709","2771586","3053622","3051519","3051447","NA","3056215","3073406","3056152","3051541","2842414","3051519","NA","NA","RESUME ","8","187004.0","16","1920"
"100","100","11389","11389","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","8","0","8","0","8","NA","NA","0","0","0","NA","NA","8","0","8","8","8","NA","8","8","8","8","0","8","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_badSort_tian.png","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","16743.0","NA","3763","4748","3306","NA","NA","16743","1271","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","3074789","2771584","3076089","NA","3078645","NA","NA","2833898","2837665","2830587","NA","NA","3096815","2771586","3076062","3074782","3074712","NA","3078646","3095390","3078589","3074790","2842414","3074782","NA","NA","RESUME ","9","205018.0","18","1920"
"100","100","10819","10819","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","9","0","9","0","9","NA","NA","0","0","0","NA","NA","9","0","9","9","9","NA","9","9","9","9","0","9","NA","NA","Wed Aug 14 15:37:10 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_kare.png","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-4/subject-4.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","8930.0","NA","3763","4748","3306","NA","NA","8930","2432","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","4","even","3096892","2771584","3099353","NA","3101914","NA","NA","2833898","2837665","2830587","NA","NA","3111507","2771586","3099326","3096883","3096818","NA","3101915","3110845","3101853","3096893","2842414","3096883","NA","NA","RESUME ","10","216380.0","20","1920"
