"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_inline_script","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","key","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_inline_script","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","18490","18490","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","0","0","0","0","0","NA","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_ goodSort_hannah.png","space","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","18490.0","NA","12305","3681","6330","NA","NA","18490","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","132962","411","139309","NA","141862","NA","NA","99768","415","112080","93432","NA","132962","NA","161809","415","138835","115870","NA","NA","141863","160354","141809","NA","115762","115870","NA","NA","RESUME ","1","18490.0","1","1920"
"100","100","19445","19445","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","1","0","1","0","1","NA","NA","0","0","0","0","NA","1","NA","1","0","1","1","1","NA","1","1","1","NA","0","1","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_ goodSort_aisha.png","space","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","20401.0","NA","12305","3681","6330","NA","NA","20401","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","162146","411","164620","NA","167175","NA","NA","99768","415","112080","93432","NA","162146","NA","189119","415","164594","162134","161817","NA","167176","187578","167120","NA","115762","162134","NA","NA","RESUME ","2","38891.0","2","1920"
"100","100","19186","19186","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","2","0","2","0","2","NA","NA","0","0","0","0","NA","2","NA","2","0","2","2","2","NA","2","2","2","NA","0","2","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_rahul.png","space","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","18667.0","NA","12305","3681","6330","NA","NA","18667","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","189204","411","190719","NA","193270","NA","NA","99768","415","112080","93432","NA","189204","NA","213412","415","190690","189194","189121","NA","193270","211938","193219","NA","115762","189194","NA","NA","RESUME ","3","57558.0","3","1920"
"100","100","16683","16683","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","3","0","3","0","3","NA","NA","0","0","0","0","NA","3","NA","3","0","3","3","3","NA","3","3","3","NA","0","3","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_maria.png","space","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","9174.0","NA","12305","3681","6330","NA","NA","9174","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","213535","411","214886","NA","217434","NA","NA","99768","415","112080","93432","NA","213535","NA","227296","415","214858","213523","213415","NA","217435","226610","217386","NA","115762","213523","NA","NA","RESUME ","4","66732.0","4","1920"
"100","100","15759","15759","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","4","0","4","0","4","NA","NA","0","0","0","0","NA","4","NA","4","0","4","4","4","NA","4","4","4","NA","0","4","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_lea.png","space","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","12064.0","NA","12305","3681","6330","NA","NA","12064","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","227379","411","228653","NA","231200","NA","NA","99768","415","112080","93432","NA","227379","NA","244286","415","228626","227370","227298","NA","231201","243266","231153","NA","115762","227370","NA","NA","RESUME ","5","78796.0","5","1920"
"83","83","16924","16924","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","n","NA","5","0","5","0","5","NA","NA","0","0","0","0","NA","5","NA","5","0","5","5","5","NA","5","5","5","NA","0","5","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_hans.png","space","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","22753.0","NA","12305","3681","6330","NA","NA","22753","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","244381","411","245315","NA","247871","NA","NA","99768","415","112080","93432","NA","244382","NA","272359","415","245290","244373","244289","NA","247872","270626","247815","NA","115762","244373","NA","NA","RESUME ","5","101549.0","6","1920"
"85","85","15350","15350","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","6","0","6","0","6","NA","NA","0","0","0","0","NA","6","NA","6","0","6","6","6","NA","6","6","6","NA","0","6","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_kare.png","space","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","5902.0","NA","12305","3681","6330","NA","NA","5902","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","272452","411","273695","NA","276258","NA","NA","99768","415","112080","93432","NA","272452","NA","282615","415","273666","272444","272361","NA","276259","282162","276195","NA","115762","272444","NA","NA","RESUME ","6","107451.0","7","1920"
"87","87","14408","14408","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","7","0","7","0","7","NA","NA","0","0","0","0","NA","7","NA","7","0","7","7","7","NA","7","7","7","NA","0","7","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_badSort_tian.png","space","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","7814.0","NA","12305","3681","6330","NA","NA","7814","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","282730","411","283589","NA","286146","NA","NA","99768","415","112080","93432","NA","282730","NA","294550","415","283562","282720","282617","NA","286147","293962","286089","NA","115762","282720","NA","NA","RESUME ","7","115265.0","8","1920"
"88","88","15024","15024","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","8","0","8","0","8","NA","NA","0","0","0","0","NA","8","NA","8","0","8","8","8","NA","8","8","8","NA","0","8","NA","NA","Wed Aug 21 15:14:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_ badSort_leila.png","space","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-7/subject-7b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","19959.0","NA","12305","3681","6330","NA","NA","19959","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","7","odd","294632","411","296356","NA","298921","NA","NA","99768","415","112080","93432","NA","294633","NA","320340","415","296331","294623","294552","NA","298922","318882","298856","NA","115762","294623","NA","NA","RESUME ","8","135224.0","9","1920"
