"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_inline_script","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","key","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_inline_script","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","51876","51876","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","0","0","0","0","0","NA","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","space","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","51876.0","NA","26284","11281","25995","NA","NA","51876","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","256107","192420","268692","NA","271217","NA","NA","218451","192422","244742","192452","NA","256107","NA","323116","192423","268664","256102","NA","NA","271218","323095","271192","NA","256024","256102","NA","NA","RESUME ","1","51876.0","1","1920"
"100","100","35529","35529","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","1","0","1","0","1","NA","NA","0","0","0","0","NA","1","NA","1","0","1","1","1","NA","1","1","1","NA","0","1","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_goodSort_emilia.png","space","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","19182.0","NA","26284","11281","25995","NA","NA","19182","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","323217","192420","355430","NA","357957","NA","NA","218451","192422","244742","192452","NA","323217","NA","377164","192423","355408","323210","323132","NA","357960","377143","357931","NA","256024","323210","NA","NA","RESUME ","2","71058.0","2","1920"
"100","100","32985","32985","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","2","0","2","0","2","NA","NA","0","0","0","0","NA","2","NA","2","0","2","2","2","NA","2","2","2","NA","0","2","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_aisha.png","space","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","27898.0","NA","26284","11281","25995","NA","NA","27898","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","377249","192420","378639","NA","381164","NA","NA","218451","192422","244742","192452","NA","377249","NA","409085","192423","378616","377242","377176","NA","381164","409064","381139","NA","256024","377242","NA","NA","RESUME ","3","98956.0","3","1920"
"100","100","31725","31725","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","3","0","3","0","3","NA","NA","0","0","0","0","NA","3","NA","3","0","3","3","3","NA","3","3","3","NA","0","3","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_viktor.png","space","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","27946.0","NA","26284","11281","25995","NA","NA","27946","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","409167","192420","410230","NA","412754","NA","NA","218451","192422","244742","192452","NA","409167","NA","440724","192423","410207","409162","409096","NA","412756","440703","412730","NA","256024","409162","NA","NA","RESUME ","4","126902.0","4","1920"
"100","100","30212","30212","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","4","0","4","0","4","NA","NA","0","0","0","0","NA","4","NA","4","0","4","4","4","NA","4","4","4","NA","0","4","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_rahul.png","space","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","24161.0","NA","26284","11281","25995","NA","NA","24161","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","440810","192420","442887","NA","445412","NA","NA","218451","192422","244742","192452","NA","440810","NA","469596","192423","442863","440805","440735","NA","445413","469575","445387","NA","256024","440805","NA","NA","RESUME ","5","151063.0","5","1920"
"100","100","30344","30344","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","5","0","5","0","5","NA","NA","0","0","0","0","NA","5","NA","5","0","5","5","5","NA","5","5","5","NA","0","5","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","space","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","31002.0","NA","26284","11281","25995","NA","NA","31002","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","469681","192420","471248","NA","473772","NA","NA","218451","192422","244742","192452","NA","469681","NA","504796","192423","471223","469678","469607","NA","473772","504775","473748","NA","256024","469678","NA","NA","RESUME ","6","182065.0","6","1920"
"100","100","29972","29972","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","6","0","6","0","6","NA","NA","0","0","0","0","NA","6","NA","6","0","6","6","6","NA","6","6","6","NA","0","6","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_lea.png","space","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","27743.0","NA","26284","11281","25995","NA","NA","27743","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","504907","192420","506600","NA","509126","NA","NA","218451","192422","244742","192452","NA","504907","NA","536892","192423","506576","504901","504807","NA","509127","536871","509100","NA","256024","504901","NA","NA","RESUME ","7","209808.0","7","1920"
"100","100","26859","26859","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","7","0","7","0","7","NA","NA","0","0","0","0","NA","7","NA","7","0","7","7","7","NA","7","7","7","NA","0","7","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_leila.png","space","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","5064.0","NA","26284","11281","25995","NA","NA","5064","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","536973","192420","543000","NA","545525","NA","NA","218451","192422","244742","192452","NA","536973","NA","550612","192423","542975","536969","536904","NA","545526","550591","545500","NA","256024","536969","NA","NA","RESUME ","8","214872.0","8","1920"
"100","100","24778","24778","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","8","0","8","0","8","NA","NA","0","0","0","0","NA","8","NA","8","0","8","8","8","NA","8","8","8","NA","0","8","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_kare.png","space","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","8131.0","NA","26284","11281","25995","NA","NA","8131","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","550696","192420","552079","NA","554602","NA","NA","218451","192422","244742","192452","NA","550696","NA","562756","192423","552055","550692","550623","NA","554603","562735","554579","NA","256024","550692","NA","NA","RESUME ","9","223003.0","9","1920"
"90","90","25083","25083","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","n","NA","9","0","9","0","9","NA","NA","0","0","0","0","NA","9","NA","9","0","9","9","9","NA","9","9","9","NA","0","9","NA","NA","Thu Aug 22 16:03:22 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_hans.png","space","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-11/subject-11.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","27827.0","NA","26284","11281","25995","NA","NA","27827","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","11","odd","562814","192420","563974","NA","566499","NA","NA","218451","192422","244742","192452","NA","562815","NA","594363","192423","563951","562809","562758","NA","566515","594343","566474","NA","256024","562809","NA","NA","RESUME ","9","250830.0","10","1920"
