"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_inline_script","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","key","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_inline_script","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","35969","35969","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","0","0","0","0","0","NA","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","r","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","35969.0","NA","95173","18971","18985","NA","NA","35969","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","533369","435","638168","NA","640708","NA","NA","411157","436","506335","392169","NA","533369","NA","679373","436","637122","525382","NA","NA","640712","676684","640668","NA","525309","525382","NA","NA","RESUME ","1","35969.0","1","1920"
"100","100","39583","39583","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","1","0","1","0","1","NA","NA","0","0","0","0","NA","1","NA","1","0","1","1","1","NA","1","1","1","NA","0","1","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_rahul.png","space","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","43198.0","NA","95173","18971","18985","NA","NA","43198","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","679949","435","686510","NA","689043","NA","NA","411157","436","506335","392169","NA","679949","NA","735640","436","686482","679941","679381","NA","689043","732242","689010","NA","525309","679941","NA","NA","RESUME ","2","79167.0","2","1920"
"100","100","41422","41422","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","2","0","2","0","2","NA","NA","0","0","0","0","NA","2","NA","2","0","2","2","2","NA","2","2","2","NA","0","2","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_aisha.png","space","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","45100.0","NA","95173","18971","18985","NA","NA","45100","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","735734","435","744446","NA","746978","NA","NA","411157","436","506335","392169","NA","735734","NA","795679","436","744419","735725","735642","NA","746981","792081","746946","NA","525309","735725","NA","NA","RESUME ","3","124267.0","3","1920"
"75","75","40755","40755","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","y","NA","3","0","3","0","3","NA","NA","0","0","0","0","NA","3","NA","3","0","3","3","3","NA","3","3","3","NA","0","3","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_viktor.png","r","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","38756.0","NA","95173","18971","18985","NA","NA","38756","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","795765","435","929898","NA","932429","NA","NA","411157","436","506335","392169","NA","795765","NA","974145","436","929873","795755","795682","NA","932429","971185","932398","NA","525309","795755","NA","NA","RESUME ","3","163023.0","4","1920"
"80","80","40254","40254","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","4","0","4","0","4","NA","NA","0","0","0","0","NA","4","NA","4","0","4","4","4","NA","4","4","4","NA","0","4","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_goodSort_emilia.png","space","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","38250.0","NA","95173","18971","18985","NA","NA","38250","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","974237","435","977675","NA","980207","NA","NA","411157","436","506335","392169","NA","974237","NA","1021230","436","977649","974230","974147","NA","980222","1018473","980175","NA","525309","974230","NA","NA","RESUME ","4","201273.0","5","1920"
"66","66","37470","37470","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","y","NA","5","0","5","0","5","NA","NA","0","0","0","0","NA","5","NA","5","0","5","5","5","NA","5","5","5","NA","0","5","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","space","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","23550.0","NA","95173","18971","18985","NA","NA","23550","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","1021325","435","1022554","NA","1025089","NA","NA","411157","436","506335","392169","NA","1021325","NA","1050487","436","1022529","1021317","1021233","NA","1025090","1048641","1025054","NA","525309","1021317","NA","NA","RESUME ","4","224823.0","6","1920"
"71","71","32891","32891","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","6","0","6","0","6","NA","NA","0","0","0","0","NA","6","NA","6","0","6","6","6","NA","6","6","6","NA","0","6","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_maria.png","space","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","5415.0","NA","95173","18971","18985","NA","NA","5415","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","1050574","435","1051419","NA","1053953","NA","NA","411157","436","506335","392169","NA","1050574","NA","1059821","436","1051393","1050565","1050489","NA","1053953","1059369","1053919","NA","525309","1050565","NA","NA","RESUME ","5","230238.0","7","1920"
"75","75","31187","31187","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","7","0","7","0","7","NA","NA","0","0","0","0","NA","7","NA","7","0","7","7","7","NA","7","7","7","NA","0","7","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_lea.png","space","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","19265.0","NA","95173","18971","18985","NA","NA","19265","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","1059907","435","1062555","NA","1065086","NA","NA","411157","436","506335","392169","NA","1059907","NA","1085837","436","1062529","1059895","1059824","NA","1065087","1084353","1065056","NA","525309","1059895","NA","NA","RESUME ","6","249503.0","8","1920"
"77","77","28773","28773","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","8","0","8","0","8","NA","NA","0","0","0","0","NA","8","NA","8","0","8","8","8","NA","8","8","8","NA","0","8","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_kare.png","space","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","9459.0","NA","95173","18971","18985","NA","NA","9459","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","1085926","435","1087267","NA","1089805","NA","NA","411157","436","506335","392169","NA","1085926","NA","1099952","436","1087241","1085914","1085840","NA","1089806","1099266","1089767","NA","525309","1085914","NA","NA","RESUME ","7","258962.0","9","1920"
"70","70","28125","28125","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","n","NA","9","0","9","0","9","NA","NA","0","0","0","0","NA","9","NA","9","0","9","9","9","NA","9","9","9","NA","0","9","NA","NA","Wed Aug 21 14:32:17 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_hans.png","space","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-6/subject-6.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","22295.0","NA","95173","18971","18985","NA","NA","22295","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","6","even","1100046","435","1101978","NA","1104511","NA","NA","411157","436","506335","392169","NA","1100046","NA","1128416","436","1101953","1100037","1099955","NA","1104513","1126809","1104478","NA","525309","1100037","NA","NA","RESUME ","7","281257.0","10","1920"
