"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","15142","15142","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","0","0","0","0","0","NA","NA","0","0","0","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_viktor.png","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","26374.0","NA","14105","10748","4553","NA","NA","26374","3911","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4800335","4489044","4804564","NA","4807112","NA","NA","4764502","4778611","4759942","NA","NA","4834710","4489092","4804248","4789422","NA","NA","4807113","4833488","4807064","4800336","4789360","4789422","NA","NA","RESUME ","1","30285.0","2","1920"
"100","100","14156","14156","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","1","0","1","0","1","NA","NA","0","0","0","NA","NA","1","0","1","1","1","NA","1","1","1","1","0","1","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","23836.0","NA","14105","10748","4553","NA","NA","23836","2505","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4835005","4489044","4837539","NA","4840090","NA","NA","4764502","4778611","4759942","NA","NA","4865047","4489092","4837512","4834996","4834720","NA","4840091","4863928","4840039","4835006","4789360","4834996","NA","NA","RESUME ","2","56626.0","4","1920"
"66","66","13596","13596","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","undefined","y","NA","2","0","2","0","2","NA","NA","0","0","0","NA","NA","2","0","2","2","2","NA","2","2","2","2","0","2","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_aisha.png","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","23575.0","NA","14105","10748","4553","NA","NA","23575","1380","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4865130","4489044","4866538","NA","4869094","NA","NA","4764502","4778611","4759942","NA","NA","4894033","4489092","4866512","4865120","4865050","NA","4869096","4892671","4869038","4865131","4789360","4865120","NA","NA","RESUME ","2","81581.0","6","1920"
"75","75","12875","12875","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","3","0","3","0","3","NA","NA","0","0","0","NA","NA","3","0","3","3","3","NA","3","3","3","3","0","3","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_goodSort_emilia.png","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","19954.0","NA","14105","10748","4553","NA","NA","19954","1466","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4894110","4489044","4895611","NA","4898163","NA","NA","4764502","4778611","4759942","NA","NA","4919080","4489092","4895584","4894100","4894035","NA","4898165","4918119","4898111","4894117","4789360","4894100","NA","NA","RESUME ","3","103001.0","8","1920"
"80","80","12725","12725","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","4","0","4","0","4","NA","NA","0","0","0","NA","NA","4","0","4","4","4","NA","4","4","4","4","0","4","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_rahul.png","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","23444.0","NA","14105","10748","4553","NA","NA","23444","808","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4919158","4489044","4919993","NA","4922555","NA","NA","4764502","4778611","4759942","NA","NA","4947160","4489092","4919968","4919147","4919082","NA","4922556","4946000","4922493","4919159","4789360","4919147","NA","NA","RESUME ","4","127253.0","10","1920"
"83","83","12952","12952","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","5","0","5","0","5","NA","NA","0","0","0","NA","NA","5","0","5","5","5","NA","5","5","5","5","0","5","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","27396.0","NA","14105","10748","4553","NA","NA","27396","775","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4947240","4489044","4948044","NA","4950594","NA","NA","4764502","4778611","4759942","NA","NA","4979102","4489092","4948015","4947229","4947161","NA","4950595","4977991","4950544","4947240","4789360","4947229","NA","NA","RESUME ","5","155424.0","12","1920"
"85","85","12296","12296","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","6","0","6","0","6","NA","NA","0","0","0","NA","NA","6","0","6","6","6","NA","6","6","6","6","0","6","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_lea.png","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","15368.0","NA","14105","10748","4553","NA","NA","15368","1358","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4979184","4489044","4980570","NA","4983125","NA","NA","4764502","4778611","4759942","NA","NA","4999021","4489092","4980543","4979173","4979103","NA","4983127","4998495","4983070","4979185","4789360","4979173","NA","NA","RESUME ","6","172150.0","14","1920"
"87","87","11481","11481","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","7","0","7","0","7","NA","NA","0","0","0","NA","NA","7","0","7","7","7","NA","7","7","7","7","0","7","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_maria.png","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","10792.0","NA","14105","10748","4553","NA","NA","10792","754","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","4999101","4489044","4999883","NA","5002439","NA","NA","4764502","4778611","4759942","NA","NA","5013749","4489092","4999855","4999092","4999024","NA","5002439","5013231","5002383","4999101","4789360","4999092","NA","NA","RESUME ","7","183696.0","16","1920"
"88","88","11083","11083","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","8","0","8","0","8","NA","NA","0","0","0","NA","NA","8","0","8","8","8","NA","8","8","8","8","0","8","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_kare.png","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","15248.0","NA","14105","10748","4553","NA","NA","15248","563","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","5013827","4489044","5014419","NA","5016974","NA","NA","4764502","4778611","4759942","NA","NA","5032816","4489092","5014391","5013816","5013750","NA","5016975","5032223","5016919","5013828","4789360","5013816","NA","NA","RESUME ","8","199507.0","18","1920"
"80","80","10578","10578","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","undefined","n","NA","9","0","9","0","9","NA","NA","0","0","0","NA","NA","9","0","9","9","9","NA","9","9","9","9","0","9","NA","NA","Wed Aug 14 14:27:20 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_hans.png","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-2/subject-2.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","11426.0","NA","14105","10748","4553","NA","NA","11426","629","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","2","even","5032897","4489044","5033555","NA","5036116","NA","NA","4764502","4778611","4759942","NA","NA","5047945","4489092","5033528","5032889","5032819","NA","5036117","5047544","5036055","5032898","4789360","5032889","NA","NA","RESUME ","8","211562.0","20","1920"
