"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_inline_script","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","key","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_inline_script","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","20048","20048","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","0","0","0","0","0","NA","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_viktor.png","space","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","20048.0","NA","20890","11981","2914","NA","NA","20048","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","73599","350","76459","NA","79015","NA","NA","39590","354","60483","36670","NA","73599","NA","99202","354","76401","72539","NA","NA","79016","99065","78959","NA","72465","72539","NA","NA","RESUME ","1","20048.0","1","1920"
"50","50","17152","17152","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","y","NA","1","0","1","0","1","NA","NA","0","0","0","0","NA","1","NA","1","0","1","1","1","NA","1","1","1","NA","0","1","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","space","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","14256.0","NA","20890","11981","2914","NA","NA","14256","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","99353","350","101102","NA","107364","NA","NA","39590","354","60483","36670","NA","99353","NA","121686","354","101073","99341","99208","NA","107376","121633","103602","NA","72465","99341","NA","NA","RESUME ","1","34304.0","2","1920"
"66","66","13893","13893","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","2","0","2","0","2","NA","NA","0","0","0","0","NA","2","NA","2","0","2","2","2","NA","2","2","2","NA","0","2","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_goodSort_emilia.png","space","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","7375.0","NA","20890","11981","2914","NA","NA","7375","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","121780","350","122675","NA","125232","NA","NA","39590","354","60483","36670","NA","121780","NA","132654","354","122649","121770","121698","NA","125233","132609","125175","NA","72465","121770","NA","NA","RESUME ","2","41679.0","3","1920"
"75","75","12858","12858","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","3","0","3","0","3","NA","NA","0","0","0","0","NA","3","NA","3","0","3","3","3","NA","3","3","3","NA","0","3","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_ goodSort_aisha.png","space","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","9756.0","NA","20890","11981","2914","NA","NA","9756","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","132735","350","133602","NA","136163","NA","NA","39590","354","60483","36670","NA","132735","NA","145971","354","133577","132726","132656","NA","136164","145921","136102","NA","72465","132726","NA","NA","RESUME ","3","51435.0","4","1920"
"80","80","12129","12129","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","4","0","4","0","4","NA","NA","0","0","0","0","NA","4","NA","4","0","4","4","4","NA","4","4","4","NA","0","4","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_rahul.png","space","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","9214.0","NA","20890","11981","2914","NA","NA","9214","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","146062","350","146771","NA","158296","NA","NA","39590","354","60483","36670","NA","146062","NA","176532","354","146745","146049","145973","NA","158298","167512","149271","NA","72465","146049","NA","NA","RESUME ","4","60649.0","5","1920"
"83","83","11510","11510","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","5","0","5","0","5","NA","NA","0","0","0","0","NA","5","NA","5","0","5","5","5","NA","5","5","5","NA","0","5","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","space","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","8411.0","NA","20890","11981","2914","NA","NA","8411","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","176639","350","179246","NA","185180","NA","NA","39590","354","60483","36670","NA","176639","NA","193643","354","179217","176631","176543","NA","185181","193592","181746","NA","72465","176631","NA","NA","RESUME ","5","69060.0","6","1920"
"85","85","10225","10225","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","6","0","6","0","6","NA","NA","0","0","0","0","NA","6","NA","6","0","6","6","6","NA","6","6","6","NA","0","6","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_kare.png","space","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","2520.0","NA","20890","11981","2914","NA","NA","2520","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","193720","350","195308","NA","197871","NA","NA","39590","354","60483","36670","NA","193720","NA","200447","354","195281","193711","193644","NA","197872","200392","197808","NA","72465","193711","NA","NA","RESUME ","6","71580.0","7","1920"
"87","87","9399","9399","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","7","0","7","0","7","NA","NA","0","0","0","0","NA","7","NA","7","0","7","7","7","NA","7","7","7","NA","0","7","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_leila.png","space","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","3613.0","NA","20890","11981","2914","NA","NA","3613","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","200520","350","201324","NA","208584","NA","NA","39590","354","60483","36670","NA","200520","NA","212259","354","201297","200509","200449","NA","208595","212208","203824","NA","72465","200509","NA","NA","RESUME ","7","75193.0","8","1920"
"88","88","8522","8522","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","8","0","8","0","8","NA","NA","0","0","0","0","NA","8","NA","8","0","8","8","8","NA","8","8","8","NA","0","8","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_maria.png","space","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","1505.0","NA","20890","11981","2914","NA","NA","1505","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","212339","350","213187","NA","217390","NA","NA","39590","354","60483","36670","NA","212339","NA","218960","354","213163","212330","212260","NA","217391","218897","215687","NA","72465","212330","NA","NA","RESUME ","8","76698.0","9","1920"
"90","90","7883","7883","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","9","0","9","0","9","NA","NA","0","0","0","0","NA","9","NA","9","0","9","9","9","NA","9","9","9","NA","0","9","NA","NA","Wed Aug 21 17:29:23 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_hans.png","space","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-10/subject-10.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","2135.0","NA","20890","11981","2914","NA","NA","2135","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","10","even","219036","350","219547","NA","222104","NA","NA","39590","354","60483","36670","NA","219036","NA","224288","354","219521","219026","218961","NA","222105","224240","222047","NA","72465","219026","NA","NA","RESUME ","9","78833.0","10","1920"
