"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_inline_script","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","key","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_inline_script","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"0","0","33196","33196","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","y","NA","0","0","0","0","0","NA","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","space","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","33196.0","NA","33036","9188","3273","NA","NA","33196","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","145957","453","151268","NA","153822","NA","NA","92695","453","125736","89418","NA","145957","NA","190087","453","150805","134991","NA","NA","153823","187020","153768","NA","134924","134991","NA","NA","RESUME ","0","33196.0","1","1920"
"50","50","27848","27848","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","1","0","1","0","1","NA","NA","0","0","0","0","NA","1","NA","1","0","1","1","1","NA","1","1","1","NA","0","1","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_rahul.png","space","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","22501.0","NA","33036","9188","3273","NA","NA","22501","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","190722","453","192150","NA","203676","NA","NA","92695","453","125736","89418","NA","190722","NA","228247","453","192124","190712","190094","NA","203678","226180","194650","NA","134924","190712","NA","NA","RESUME ","1","55697.0","2","1920"
"66","66","24015","24015","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","2","0","2","0","2","NA","NA","0","0","0","0","NA","2","NA","2","0","2","2","2","NA","2","2","2","NA","0","2","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_goodSort_emilia.png","space","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","16348.0","NA","33036","9188","3273","NA","NA","16348","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","228338","453","229254","NA","231807","NA","NA","92695","453","125736","89418","NA","228338","NA","249654","453","229228","228329","228249","NA","231807","248156","231754","NA","134924","228329","NA","NA","RESUME ","2","72045.0","3","1920"
"50","50","22390","22390","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","y","NA","3","0","3","0","3","NA","NA","0","0","0","0","NA","3","NA","3","0","3","3","3","NA","3","3","3","NA","0","3","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_viktor.png","space","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","17518.0","NA","33036","9188","3273","NA","NA","17518","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","249740","453","250453","NA","253012","NA","NA","92695","453","125736","89418","NA","249740","NA","272177","453","250428","249730","249657","NA","253013","270532","252953","NA","134924","249730","NA","NA","RESUME ","2","89563.0","4","1920"
"40","40","21773","21773","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","y","NA","4","0","4","0","4","NA","NA","0","0","0","0","NA","4","NA","4","0","4","4","4","NA","4","4","4","NA","0","4","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_ goodSort_aisha.png","space","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","19306.0","NA","33036","9188","3273","NA","NA","19306","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","272261","453","273094","NA","275648","NA","NA","92695","453","125736","89418","NA","272261","NA","296824","453","273069","272251","272178","NA","275657","294963","275594","NA","134924","272251","NA","NA","RESUME ","2","108869.0","5","1920"
"50","50","21723","21723","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","5","0","5","0","5","NA","NA","0","0","0","0","NA","5","NA","5","0","5","5","5","NA","5","5","5","NA","0","5","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","space","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","21474.0","NA","33036","9188","3273","NA","NA","21474","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","296906","453","298425","NA","300985","NA","NA","92695","453","125736","89418","NA","296906","NA","324469","453","298397","296898","296826","NA","300985","322459","300925","NA","134924","296898","NA","NA","RESUME ","3","130343.0","6","1920"
"57","57","21231","21231","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","6","0","6","0","6","NA","NA","0","0","0","0","NA","6","NA","6","0","6","6","6","NA","6","6","6","NA","0","6","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_hans.png","space","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","18274.0","NA","33036","9188","3273","NA","NA","18274","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","324557","453","325317","NA","327880","NA","NA","92695","453","125736","89418","NA","324557","NA","347892","453","325292","324548","324471","NA","327881","346156","327817","NA","134924","324548","NA","NA","RESUME ","4","148617.0","7","1920"
"62","62","19500","19500","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","7","0","7","0","7","NA","NA","0","0","0","0","NA","7","NA","7","0","7","7","7","NA","7","7","7","NA","0","7","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_maria.png","space","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","7385.0","NA","33036","9188","3273","NA","NA","7385","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","347975","453","348840","NA","351401","NA","NA","92695","453","125736","89418","NA","347975","NA","359470","453","348812","347965","347895","NA","351402","358787","351340","NA","134924","347965","NA","NA","RESUME ","5","156002.0","8","1920"
"66","66","18024","18024","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","8","0","8","0","8","NA","NA","0","0","0","0","NA","8","NA","8","0","8","8","8","NA","8","8","8","NA","0","8","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_leila.png","space","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","6218.0","NA","33036","9188","3273","NA","NA","6218","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","359550","453","360669","NA","363224","NA","NA","92695","453","125736","89418","NA","359550","NA","370050","453","360644","359541","359472","NA","363225","369444","363169","NA","134924","359541","NA","NA","RESUME ","6","162220.0","9","1920"
"70","70","16648","16648","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","9","0","9","0","9","NA","NA","0","0","0","0","NA","9","NA","9","0","9","9","9","NA","9","9","9","NA","0","9","NA","NA","Mon Aug 19 14:25:13 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_kare.png","space","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-5/subject-5.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","4268.0","NA","33036","9188","3273","NA","NA","4268","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","370129","453","371045","NA","373599","NA","NA","92695","453","125736","89418","NA","370129","NA","378308","453","371020","370114","370052","NA","373607","377875","373545","NA","134924","370114","NA","NA","RESUME ","7","166488.0","10","1920"
